                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.99005,                 0.4185,                0.94885,                0.97744,                0.98461,                0.98789,                  0.741,                 1.0019,                0.36823,                0.97251,              0.0055648,              0.0055648,              0.0055648
                    115,                0.97968,                0.41606,                0.94559,                0.97795,                0.98315,                0.98809,                0.74036,                 1.0037,                0.36837,                0.97377,              0.0055252,              0.0055252,              0.0055252
                    116,                0.98913,                0.41858,                0.94641,                0.97709,                0.98289,                0.98769,                0.74093,                 1.0026,                0.36839,                0.97369,              0.0054856,              0.0054856,              0.0054856
                    117,                0.97862,                0.41519,                0.94756,                0.97551,                0.98321,                0.98763,                0.74137,                 1.0013,                0.36729,                0.97363,               0.005446,               0.005446,               0.005446
                    118,                0.98024,                0.41429,                0.95104,                0.97727,                 0.9823,                0.98736,                0.74177,                 1.0002,                0.36695,                0.97357,              0.0054064,              0.0054064,              0.0054064
                    119,                0.97776,                0.41583,                 0.9455,                0.97729,                 0.9825,                0.98724,                0.74157,                 1.0006,                0.36602,                0.97366,              0.0053668,              0.0053668,              0.0053668
                    120,                0.97472,                0.41045,                0.94911,                0.97658,                0.98263,                0.98725,                0.74236,                0.99951,                0.36567,                0.97323,              0.0053272,              0.0053272,              0.0053272
                    121,                 0.9747,                0.41411,                0.94206,                0.97637,                0.98207,                0.98719,                 0.7419,                0.99977,                0.36605,                0.97367,              0.0052876,              0.0052876,              0.0052876
                    122,                0.97065,                0.41006,                0.94362,                 0.9775,                0.98147,                0.98745,                  0.742,                0.99964,                0.36566,                 0.9738,               0.005248,               0.005248,               0.005248
                    123,                0.96475,                0.40822,                   0.94,                0.97554,                0.98425,                0.98754,                0.74311,                0.99974,                0.36475,                0.97413,              0.0052084,              0.0052084,              0.0052084
                    124,                 0.9682,                 0.4094,                0.94278,                 0.9768,                0.98289,                0.98746,                0.74334,                      1,                0.36433,                0.97427,              0.0051688,              0.0051688,              0.0051688
                    125,                0.96542,                0.40893,                0.93991,                0.97701,                0.98241,                0.98746,                0.74318,                0.99951,                0.36411,                0.97438,              0.0051292,              0.0051292,              0.0051292
                    126,                0.96555,                0.40755,                0.94275,                0.97804,                 0.9827,                0.98754,                 0.7434,                0.99913,                0.36368,                0.97448,              0.0050896,              0.0050896,              0.0050896
                    127,                0.96314,                0.40687,                0.93953,                0.97862,                0.98028,                0.98725,                0.74398,                0.99812,                0.36292,                0.97445,                0.00505,                0.00505,                0.00505
                    128,                0.96435,                 0.4088,                0.93943,                0.97541,                0.98435,                0.98733,                0.74395,                 0.9982,                0.36333,                0.97483,              0.0050104,              0.0050104,              0.0050104
                    129,                0.95967,                0.40526,                0.94097,                0.97632,                0.98355,                0.98736,                 0.7442,                0.99792,                0.36317,                 0.9748,              0.0049708,              0.0049708,              0.0049708
                    130,                0.95709,                0.40438,                0.93724,                0.97652,                0.98307,                0.98753,                0.74363,                0.99765,                0.36261,                0.97503,              0.0049312,              0.0049312,              0.0049312
                    131,                0.95043,                0.40105,                0.93488,                 0.9774,                0.98271,                0.98738,                0.74353,                0.99639,                0.36198,                0.97483,              0.0048916,              0.0048916,              0.0048916
                    132,                0.95151,                0.40181,                0.93837,                0.97789,                0.98177,                 0.9875,                0.74445,                0.99536,                0.36259,                0.97443,               0.004852,               0.004852,               0.004852
                    133,                0.95099,                0.40211,                0.93602,                0.97889,                0.98028,                0.98757,                0.74452,                0.99454,                0.36204,                0.97413,              0.0048124,              0.0048124,              0.0048124
                    134,                0.95704,                0.40606,                0.93933,                0.97822,                0.98172,                0.98771,                0.74512,                0.99427,                0.36189,                0.97346,              0.0047728,              0.0047728,              0.0047728
                    135,                0.94508,                 0.3985,                0.93579,                0.97864,                0.98107,                0.98759,                0.74548,                0.99429,                0.36189,                 0.9735,              0.0047332,              0.0047332,              0.0047332
                    136,                0.94968,                0.39928,                0.93581,                0.97817,                0.98278,                0.98763,                0.74557,                0.99489,                0.36167,                0.97373,              0.0046936,              0.0046936,              0.0046936
                    137,                0.94513,                0.40067,                0.93435,                0.97852,                 0.9815,                0.98747,                0.74572,                0.99462,                0.36116,                 0.9735,               0.004654,               0.004654,               0.004654
                    138,                 0.9317,                0.39459,                0.93033,                0.97878,                0.98188,                0.98735,                0.74586,                0.99431,                0.36095,                0.97344,              0.0046144,              0.0046144,              0.0046144
                    139,                0.94119,                0.39743,                0.93346,                0.97945,                0.98159,                0.98725,                0.74602,                0.99346,                 0.3606,                 0.9734,              0.0045748,              0.0045748,              0.0045748
                    140,                0.93545,                0.39491,                0.93343,                0.97921,                0.98198,                0.98741,                0.74672,                0.99303,                0.36099,                0.97347,              0.0045352,              0.0045352,              0.0045352
                    141,                0.93944,                0.39746,                 0.9344,                0.97904,                0.98196,                0.98739,                0.74673,                0.99253,                0.36004,                 0.9733,              0.0044956,              0.0044956,              0.0044956
                    142,                 0.9333,                 0.3927,                0.93061,                0.97805,                0.98333,                0.98743,                0.74694,                0.99247,                0.36028,                0.97354,               0.004456,               0.004456,               0.004456
                    143,                0.94018,                0.39691,                0.93046,                0.97716,                0.98332,                 0.9873,                0.74677,                0.99278,                0.36019,                0.97383,              0.0044164,              0.0044164,              0.0044164
                    144,                0.93844,                0.39431,                0.93101,                0.97704,                0.98369,                0.98721,                0.74701,                0.99239,                 0.3602,                0.97387,              0.0043768,              0.0043768,              0.0043768
                    145,                0.93114,                0.39334,                0.93129,                0.97778,                0.98245,                0.98721,                0.74656,                0.99207,                0.35987,                0.97379,              0.0043372,              0.0043372,              0.0043372
                    146,                0.92851,                0.39105,                0.93308,                0.97754,                0.98338,                 0.9873,                0.74727,                0.99202,                0.35917,                0.97404,              0.0042976,              0.0042976,              0.0042976
                    147,                0.93343,                 0.3915,                0.93209,                0.97706,                0.98381,                0.98729,                0.74662,                0.99201,                0.35919,                0.97433,               0.004258,               0.004258,               0.004258
                    148,                0.92348,                   0.39,                 0.9253,                0.97693,                0.98444,                0.98742,                0.74642,                0.99232,                 0.3589,                0.97443,              0.0042184,              0.0042184,              0.0042184
                    149,                0.93081,                0.39029,                0.93154,                0.97753,                0.98394,                0.98725,                0.74679,                0.99177,                0.35857,                0.97434,              0.0041788,              0.0041788,              0.0041788
                    150,                0.92675,                0.38932,                0.92846,                0.97755,                0.98377,                0.98719,                0.74703,                0.99133,                0.35811,                0.97436,              0.0041392,              0.0041392,              0.0041392
